Title,Genders,Developers,Publishers,Release Date (NA),Release Date (EU),Release Date (JP),Release Date (AU),Addons,Xbox One
0 Day Attack on Earth,Shooter,Gulti,Square Enix,"Dec 23, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
007 Legends,First-person shooter,Eurocom,Activision,"Oct 16, 2012","Oct 19, 2012",Unreleased,"Oct 31, 2012",,
007: Quantum of Solace,First-person shooter,Treyarch,Activision,"Nov 4, 2008","Oct 31, 2008","Mar 26, 2009","Nov 19, 2008",,
0-D Beat Drop,Puzzle & Trivia,Cyclone Zero,Arc System Works,"Nov 11, 2009",Unreleased,Unreleased,Unreleased,XBLA,
1 vs. 100,Party,Microsoft Game Studios,Microsoft Game Studios,"Nov 19, 2009",Unreleased,Unreleased,Unreleased,XBLA,
11eyes CrossOver,Visual novel,Lass,5pb.,Unreleased,Unreleased,"Apr 2, 2009",Unreleased,,
1942: Joint Strike,Vertically scrolling shooter,Backbone Entertainment,Capcom,"Jul 23, 2008",Unreleased,Unreleased,Unreleased,XBLA,
2006 FIFA World Cup,Sports,EA Canada,EA Sports,"Apr 24, 2006","Apr 28, 2006","Apr 27, 2006","May 1, 2006",,
2010 FIFA World Cup South Africa,Sports,EA Canada,EA Sports,"Apr 27, 2010","Apr 30, 2010","May 13, 2010","Apr 29, 2010",,
2014 FIFA World Cup Brazil,Sports,EA Canada,EA Sports,"Apr 15, 2014","Apr 17, 2014","Apr 24, 2014","Apr 17, 2014",,
3 on 3 NHL Arcade,Sports & Recreation,EA Canada,Electronic Arts,"Feb 11, 2009",Unreleased,Unreleased,Unreleased,XBLA,
3D Ultra Minigolf Adventures,Sports & Recreation,Wanako Games,Vivendi Games,"Apr 18, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
3D Ultra Minigolf Adventures 2,Sports & Recreation,Wanako Games,Konami,"Oct 27, 2010",Unreleased,Unreleased,Unreleased,XBLA,
